Waktu(s),Total_Ticks,Kecepatan(Ticks/s)
0.08828330039978027,88.5,0.0
0.08969902992248535,88.5,0.0
0.19039368629455566,88.5,0.0
0.19188380241394043,88.5,0.0
0.29050207138061523,88.5,0.0
0.29189205169677734,88.5,0.0
0.3930644989013672,88.5,0.0
0.3945770263671875,88.5,0.0
0.4953584671020508,88.5,0.0
0.49683713912963867,88.5,0.0
0.5958631038665771,88.5,0.0
0.5973076820373535,89.0,346.00758950668205
0.6984140872955322,89.5,4.945366737096287
0.6998090744018555,89.5,0.0
0.8004276752471924,90.0,4.969283664634392
0.8019406795501709,91.0,661.7709056484696
0.8998439311981201,91.5,5.107032924215858
0.9012293815612793,92.0,360.459264352011
1.0037026405334473,93.0,9.759211129440946
1.0051112174987793,93.5,353.6512647554806
1.1036522388458252,94.0,5.074114937189091
1.1050677299499512,95.0,705.3992600067272
1.2063031196594238,95.5,4.939030823724471
1.207740068435669,96.0,347.78640132669983
1.308739185333252,97.0,9.901684391930972
1.310145616531372,98.0,707.6605365277543
1.4089906215667725,98.5,5.058448951237867
1.4104313850402832,99.0,346.9234077750207
1.511850118637085,100.0,9.860227187241405
1.5133750438690186,101.0,656.7967428750392
1.613454818725586,101.5,4.996204874818046
1.6148042678833008,102.0,371.0460014154282
1.7151405811309814,102.5,4.982802617385561
1.716606855392456,103.5,682.2225113858166
1.816434621810913,104.5,10.017253073741127
1.8179137706756592,105.0,337.8144329896907
1.9195516109466553,105.5,4.919473792857545
1.921055793762207,106.0,332.3010616384091
2.020415782928467,106.5,5.032194592882492
2.021782875061035,107.5,730.3332752916594
2.1237781047821045,108.5,9.80470095959419
2.1252152919769287,109.0,347.7287348698392
2.2241694927215576,109.5,5.05396286799437
2.225834608078003,110.5,600.3870598339536
2.3264193534851074,111.0,4.96990781335166
2.3277103900909424,111.5,387.07124400147654
2.4284374713897705,111.5,0.0
2.429884672164917,111.5,0.0
2.5292840003967285,112.0,5.03022714734595
2.5306508541107178,112.5,364.5318964018773
2.6318554878234863,112.5,0.0
2.6334495544433594,112.5,0.0
2.733999490737915,112.5,0.0
2.7356033325195312,112.5,0.0
2.8351807594299316,112.5,0.0
2.836941719055176,112.5,0.0
2.9366185665130615,112.5,0.0
2.938668966293335,112.5,0.0
3.037388563156128,112.5,0.0
3.039276123046875,112.5,0.0
3.139157772064209,112.5,0.0
3.1405887603759766,112.5,0.0
3.2409286499023438,112.5,0.0
3.2423622608184814,112.5,0.0
3.342789888381958,112.5,0.0
3.3442840576171875,112.5,0.0
3.44407057762146,112.5,0.0
3.4454848766326904,112.5,0.0
3.5465097427368164,112.5,0.0
3.5480151176452637,112.5,0.0
3.6477608680725098,112.5,0.0
3.649333953857422,112.5,0.0
3.7507152557373047,112.5,0.0
3.7523131370544434,112.5,0.0
3.851254463195801,112.5,0.0
3.8525946140289307,112.5,0.0
3.954450845718384,112.5,0.0
3.9558982849121094,112.5,0.0
4.056213140487671,112.5,0.0
4.057699918746948,112.5,0.0
4.15680718421936,112.5,0.0
4.158212423324585,112.5,0.0
4.259250640869141,112.5,0.0
4.260699272155762,112.5,0.0
4.360830545425415,112.5,0.0
4.36219596862793,112.5,0.0
4.461843490600586,112.5,0.0
4.46334981918335,112.5,0.0
4.564809560775757,112.5,0.0
4.566282510757446,112.5,0.0
4.665815830230713,112.5,0.0
4.667256593704224,112.5,0.0
4.767269849777222,112.5,0.0
4.76871919631958,112.5,0.0
4.86906623840332,112.5,0.0
4.870500802993774,112.5,0.0
4.970185995101929,112.5,0.0
4.971750736236572,112.5,0.0
5.072784900665283,112.5,0.0
5.0742058753967285,112.5,0.0
5.173781871795654,112.5,0.0
5.175285816192627,112.5,0.0
5.275842189788818,112.5,0.0
5.277365207672119,112.5,0.0
5.377636909484863,112.5,0.0
5.37920618057251,112.5,0.0
5.479642868041992,112.5,0.0
5.481274366378784,112.5,0.0
5.580729246139526,113.0,5.02663419685145
5.582296133041382,113.0,0.0
5.6824376583099365,113.0,0.0
5.683896541595459,113.0,0.0
5.784744739532471,113.5,4.957993682976189
5.78611946105957,113.5,0.0
5.886677265167236,114.0,4.972700737196283
5.888289213180542,114.0,0.0
5.98773717880249,115.0,10.05408774276441
5.98921799659729,115.0,0.0
6.089624404907227,115.5,4.980506896682753
6.091289043426514,115.5,0.0
6.192706823348999,116.5,9.858790235004866
6.194214582443237,116.5,0.0
6.294203519821167,117.5,10.001249469452379
6.29567551612854,117.5,0.0
6.395624160766602,119.0,15.00774306201606
6.39709997177124,119.0,0.0
6.497479200363159,120.5,14.949366878063733
6.499038457870483,120.5,0.0
6.5994133949279785,122.0,14.948372335041663
6.601277112960815,122.0,0.0
6.701206207275391,123.5,15.012076078579218
6.703068017959595,123.5,0.0
6.802911043167114,125.0,15.023942000468047
6.804463863372803,125.0,0.0
6.904267311096191,126.5,15.033563205207242
6.905879020690918,126.5,0.0
7.006192445755005,128.0,14.954554854351624
7.007513999938965,128.0,0.0
7.107534170150757,129.0,9.99891292946438
7.108977556228638,129.0,0.0
7.208578109741211,130.5,15.059940971033678
7.210097789764404,130.5,0.0
7.310555934906006,132.0,14.932016898466797
7.312070369720459,132.0,0.0
7.412968397140503,133.5,14.866565058660901
7.414361000061035,133.5,0.0
7.513639688491821,135.0,15.108075787047042
7.514960050582886,135.5,382.134110787172
7.615762233734131,137.5,19.845017577228617
7.617398023605347,137.5,0.0
7.717960834503174,139.0,14.919305001908944
7.719602823257446,139.0,0.0
7.820417165756226,140.5,14.87999659423906
7.822250843048096,140.5,0.0
7.922979116439819,142.0,14.891443070572418
7.9245805740356445,142.0,0.0
8.022950649261475,143.5,15.249796393251891
8.0246000289917,143.5,0.0
8.124805450439453,145.0,14.965689166301928
8.126214742660522,145.0,0.0
8.22797441482544,146.5,14.744655420512123
8.229506731033325,146.5,0.0
8.328819990158081,148.0,15.106116921658455
8.330305337905884,148.0,0.0
8.430179357528687,149.0,10.013761358373085
8.431708812713623,149.0,0.0
8.531471729278564,150.5,15.035323638709986
8.53314733505249,150.5,0.0
8.633400201797485,151.5,9.97757705656643
8.634726524353027,151.5,0.0
8.735600709915161,152.5,9.913456175016309
8.737194061279297,152.5,0.0
8.836645603179932,153.5,10.054449262751133
8.838057518005371,153.5,0.0
8.937974452972412,154.0,5.004216408917693
8.93940258026123,154.0,0.0
9.040557384490967,155.0,9.886024333790594
9.042045593261719,155.0,0.0
9.141737222671509,155.5,5.016282001296437
9.143171548843384,155.5,0.0
9.24423623085022,156.0,4.947385058894858
9.245695352554321,156.0,0.0
9.34595775604248,156.0,0.0
9.347598552703857,156.0,0.0
9.446656942367554,156.5,5.047843930148873
9.44822645187378,156.5,0.0
9.548984289169312,156.5,0.0
9.550606489181519,156.5,0.0
9.651540756225586,156.5,0.0
9.653059720993042,156.5,0.0
9.753777265548706,156.5,0.0
9.7551908493042,156.5,0.0
9.855305910110474,156.5,0.0
9.856804370880127,156.5,0.0
9.956698179244995,156.5,0.0
9.958336114883423,156.5,0.0
10.05901575088501,156.5,0.0
10.060697555541992,156.5,0.0
10.1605224609375,156.5,0.0
10.162369012832642,156.5,0.0
10.261816501617432,156.5,0.0
10.263300657272339,156.5,0.0
10.363179683685303,156.5,0.0
10.364861249923706,156.5,0.0
10.464966058731079,156.5,0.0
10.466248989105225,156.5,0.0
10.566383600234985,156.5,0.0
10.567963361740112,156.5,0.0
10.668203830718994,156.5,0.0
10.669677972793579,156.5,0.0
10.769670009613037,156.5,0.0
10.770974159240723,156.5,0.0
10.871476173400879,156.5,0.0
10.872961044311523,156.5,0.0
10.974259614944458,156.5,0.0
10.97570252418518,156.5,0.0
11.073522567749023,156.5,0.0
11.075023651123047,156.5,0.0
11.177460432052612,156.5,0.0
11.178840398788452,156.5,0.0
11.279541492462158,156.5,0.0
11.28092336654663,156.5,0.0
11.37972903251648,156.5,0.0
11.381206035614014,156.5,0.0
11.481887817382812,156.5,0.0
11.483356714248657,156.5,0.0
11.584493398666382,157.0,4.944270767025495
11.585944175720215,157.0,0.0
11.686760187149048,157.5,4.960292155879542
11.688181161880493,158.5,696.9597873047524
11.788619756698608,159.0,4.978189655990961
11.790044069290161,159.0,0.0
11.88973069190979,159.5,5.016942016296105
11.89114499092102,160.5,694.9965202982602
11.991407632827759,161.0,4.987115767846017
11.992855072021484,161.5,344.4164887502053
12.093804121017456,162.5,9.906408466838139
12.095243453979492,163.0,346.522141440846
12.194465398788452,164.0,10.078730469970251
12.19591760635376,165.0,687.0276822276822
12.296032667160034,165.5,4.994503348480086
12.297442197799683,166.5,706.9448845440755
12.397853136062622,167.0,4.97958447109106
12.399377346038818,167.5,327.7824320100031
12.499971389770508,168.5,9.940922869812738
12.501264572143555,169.5,772.2894494568219
12.601980686187744,170.0,4.966576910051557
12.603204488754272,170.5,400.5255920550038
12.703649759292603,171.0,4.979418943689394
12.705469131469727,171.5,271.86310604096445
12.805029153823853,172.0,5.022817795341596
12.80710744857788,173.0,479.2394881170018
12.9070463180542,174.0,10.007095599726101
12.908757448196411,174.5,289.42202594534916
13.008404731750488,175.0,5.017806298481608
13.010142087936401,175.5,289.2623448275862
13.10980486869812,176.5,10.038518887274694
13.11126446723938,177.5,658.6532663316583
13.211342811584473,178.0,4.994800734518312
13.212852001190186,178.5,331.198989260897
13.312587976455688,179.0,5.01433896578685
13.31411623954773,179.5,326.151166407465
13.414745092391968,180.0,4.968753850090507
13.416397094726562,180.5,301.05541200114845
13.516591310501099,180.5,0.0
13.517821788787842,181.0,404.15340142609364
13.619001865386963,181.5,4.943489893334905
13.62039589881897,181.5,0.0
13.72219443321228,181.5,0.0
13.723865032196045,181.5,0.0
13.82194209098816,181.5,0.0
13.823362827301025,181.5,0.0
13.92504334449768,181.5,0.0
13.926535606384277,181.5,0.0
14.026947975158691,181.5,0.0
14.02829647064209,181.5,0.0
