Waktu(s),Raw_L,Raw_R,Clean_L,Clean_R,Kecepatan_Angular_rad_s
0.0819706916809082,0,0,0,0,0.0
0.08346891403198242,0,0,0,0,0.0
0.18424582481384277,0,0,0,0,0.0
0.18576574325561523,0,0,0,0,0.0
0.28583812713623047,0,0,0,0,0.0
0.2873513698577881,0,0,0,0,0.0
0.3880584239959717,0,0,0,0,0.0
0.38958072662353516,0,0,0,0,0.0
0.488720178604126,0,0,0,0,0.0
0.49026036262512207,0,0,0,0,0.0
0.5911722183227539,0,0,0,0,0.0
0.5927841663360596,0,0,0,0,0.0
0.6939032077789307,0,1,0,1,0.19165816735885724
0.6954033374786377,0,1,0,1,0.19166560926283288
0.7942602634429932,0,2,0,2,0.384247628199507
0.7956609725952148,-1,2,-1,2,0.5764990439328238
0.8964478969573975,-1,4,-1,4,0.9606807889923745
0.8980600833892822,-2,4,-2,4,1.152613163546781
0.9980201721191406,-2,5,-2,5,1.342548613207163
0.9995393753051758,-3,5,-3,5,1.5344044826974386
1.1001708507537842,-3,6,-3,6,1.7271559174947715
1.1018495559692383,-4,6,-4,6,1.91881047089817
1.202031135559082,-4,8,-4,8,2.114585601885848
1.2031376361846924,-5,8,-5,8,2.3086090559318406
1.3026084899902344,-5,10,-5,10,2.497972715720673
1.3039357662200928,-6,10,-6,10,2.498333609943247
1.404508352279663,-6,11,-6,11,2.3071270116004055
1.4059054851531982,-7,11,-7,11,2.3081039937128476
1.5074915885925293,-7,13,-7,13,2.492465639760436
1.5088648796081543,-8,13,-8,13,2.4931796842528042
1.6078956127166748,-8,14,-8,14,2.5010401208141433
1.6093251705169678,-9,14,-9,14,2.5022680176104664
1.7091736793518066,-9,16,-9,16,2.503911406255436
1.710688829421997,-10,16,-10,16,2.5018954086199705
1.8113596439361572,-10,18,-10,18,2.4959943385896994
1.8129587173461914,-11,18,-11,18,2.4946615809577253
1.913661241531372,-11,19,-11,19,2.4940249320125756
1.915320873260498,-12,19,-12,19,2.492739775133235
2.015909433364868,-12,21,-12,21,2.4976306655180713
2.0175111293792725,-13,21,-13,21,2.4965091172330585
2.1172189712524414,-13,22,-13,22,2.493190187959595
2.1187407970428467,-14,22,-14,22,2.492738608471978
2.218873977661133,-14,24,-14,24,2.491346393580805
2.2202608585357666,-15,24,-15,24,2.4919735139475043
2.321225643157959,-15,25,-15,25,2.298956984362645
2.3227248191833496,-16,25,-16,25,2.299407504295842
2.4225101470947266,-16,27,-16,27,2.495514849529136
2.423784017562866,-18,27,-18,27,2.6895164680545185
2.524770975112915,-18,28,-18,28,2.495452880242888
2.5262539386749268,-19,28,-19,28,2.4960352791188773
2.6256844997406006,-19,30,-19,30,2.6895038569597864
2.6271378993988037,-20,30,-20,30,2.6898658423952297
2.7278382778167725,-20,31,-20,31,2.4949490555854053
2.729386568069458,-21,31,-21,31,2.4941580757393838
2.8303942680358887,-21,33,-21,33,2.685789998014617
2.8317174911499023,-22,33,-22,33,2.6867184447202876
2.929867744445801,-22,35,-22,35,2.695377002610888
2.9314234256744385,-23,35,-23,35,2.501460642553004
3.033496618270874,-23,36,-23,36,2.496119503859403
3.0349929332733154,-24,36,-24,36,2.4960539952366805
3.1349291801452637,-24,38,-24,38,2.4935753850014537
3.136502981185913,-25,38,-25,38,2.4929859650857136
3.2356526851654053,-25,39,-25,39,2.5005986077275852
3.2371482849121094,-26,39,-26,39,2.5008580952027675
3.3375191688537598,-26,41,-26,41,2.503998517824804
3.3390183448791504,-27,41,-27,41,2.5031300276063155
3.4404842853546143,-27,42,-27,42,2.2955778085718648
3.4422061443328857,-29,42,-29,42,2.4860668805224853
3.5406405925750732,-29,44,-29,44,2.6965123698378464
3.5422234535217285,-30,44,-30,44,2.6960522788145034
3.6433725357055664,-30,45,-30,45,2.4975053486550944
3.6450531482696533,-31,45,-31,45,2.496980794012604
3.744839906692505,-31,47,-31,47,2.685691906993819
3.7463912963867188,-32,47,-32,47,2.685397676916739
3.8477821350097656,-32,48,-32,48,2.4885991816458106
3.8492631912231445,-33,48,-33,48,2.4886875567654556
3.9487247467041016,-33,50,-33,50,2.690694865908435
3.9501993656158447,-34,50,-34,50,2.499718395440325
4.049913167953491,-34,51,-34,51,2.301635816790291
4.05159068107605,-35,51,-35,51,2.301208119784258
4.1518683433532715,-35,53,-35,53,2.497247727320041
4.153348445892334,-36,53,-36,53,2.4982328302840835
4.254052639007568,-36,54,-36,54,2.3019063067628744
4.255640506744385,-37,54,-37,54,2.301741418856095
4.356100559234619,-37,56,-37,56,2.4981191699600664
4.357736110687256,-38,56,-38,56,2.497360137366425
4.457945823669434,-38,57,-38,57,2.301868585223155
4.459352731704712,-39,57,-39,57,2.302174704262708
4.559897184371948,-39,59,-39,59,2.489960389186116
4.561347961425781,-40,59,-40,59,2.491067904177446
4.660950660705566,-40,60,-40,60,2.302496001228898
4.662355899810791,-41,60,-41,60,2.3028346460870885
4.7619469165802,-41,62,-41,62,2.5002053696468467
4.763434171676636,-42,62,-42,62,2.5007007524787066
4.863888740539551,-42,63,-42,63,2.3083640839921533
4.865540266036987,-43,63,-43,63,2.308291469558216
4.9666125774383545,-43,65,-43,65,2.4964084847127004
4.967967510223389,-44,65,-44,65,2.4966635922345115
5.0679590702056885,-44,66,-44,66,2.307120515597152
5.069753646850586,-45,66,-45,66,2.3055603696103186
5.167640924453735,-45,68,-45,68,2.5061464386675594
5.1691575050354,-46,68,-46,68,2.505595852320199
5.271016359329224,-46,69,-46,69,2.302554232425
5.272461414337158,-47,69,-47,69,2.3027451219968014
5.374075174331665,-47,71,-47,71,2.4889724929797366
5.375334978103638,-48,71,-48,71,2.4908849973202187
5.4741740226745605,-48,72,-48,72,2.3093952682999928
5.475592613220215,-49,72,-49,72,2.309105662978469
5.576297760009766,-49,73,-49,73,2.3058642269620897
5.5778584480285645,-49,73,-49,73,2.1146818481324132
5.6778318881988525,-49,73,-49,73,1.723119503228194
5.679370880126953,-49,73,-49,73,1.5315945017313166
5.78047776222229,-49,73,-49,73,1.3421232621689265
5.781966209411621,-49,73,-49,73,1.1502933940285016
5.882763624191284,-49,73,-49,73,0.7680929262455745
5.884310483932495,-49,73,-49,73,0.5757447984118405
5.983402252197266,-49,73,-49,73,0.38363937557646627
5.984849452972412,-49,73,-49,73,0.19180891129028485
6.08638072013855,-49,73,-49,73,0.0
6.087841749191284,-49,73,-49,73,0.0
6.187376976013184,-49,73,-49,73,0.0
6.188723564147949,-49,73,-49,73,0.0
6.289222478866577,-49,73,-49,73,0.0
6.290817499160767,-49,73,-49,73,0.0
6.390029430389404,-49,73,-49,73,0.0
6.391467332839966,-49,73,-49,73,0.0
6.492895603179932,-49,73,-49,73,0.0
6.494365215301514,-49,73,-49,73,0.0
6.594257831573486,-49,73,-49,73,0.0
6.595609903335571,-49,73,-49,73,0.0
6.695381164550781,-49,73,-49,73,0.0
6.696892738342285,-49,73,-49,73,0.0
6.796967267990112,-49,73,-49,73,0.0
6.798481225967407,-49,73,-49,73,0.0
6.898322582244873,-49,73,-49,73,0.0
6.89984917640686,-49,73,-49,73,0.0
7.00071907043457,-49,73,-49,73,0.0
7.002196550369263,-49,73,-49,73,0.0
